Company,Quarter,Sales,Total_Assets,Total_Liabilities,Short_Term_Debt,Long_Term_Debt,EBIT,Interest_Expense,Operating_Cash_Flow,Market_Cap,Retained_Earnings,Current_Assets,Current_Liabilities,RBI_Repo_Rate
Axis Bank,2022-09-30,21890.15,1283044.59,1296250.2,122242.98,285233.61,3283.52,11054.35,5525.86,255834.91,123970.66,1013519.3,60976.44,6.5
Axis Bank,2022-12-31,22268.33,1293984.72,1280907.21,119774.77,279474.47,3340.25,10941.98,5621.32,276561.79,124664.08,1001522.83,59038.09,6.5
Axis Bank,2023-03-31,22742.95,1347918.07,1351427.26,121312.63,283062.8,3411.44,10700.9,5741.13,282231.49,129502.27,1056661.44,63088.18,6.5
Axis Bank,2023-06-30,26778.49,1360617.55,1333897.12,133958.08,312568.86,4016.77,15048.23,-1319.23,296003.97,141834.34,1036513.88,56772.7,6.5
Axis Bank,2023-09-30,28910.61,1439021.24,1446755.33,137375.9,320543.76,4336.59,15181.18,-1424.26,289462.86,149384.28,1124211.13,63147.17,6.5
Axis Bank,2023-12-31,28445.89,1488284.6,1501909.03,137892.39,321748.91,4266.88,15561.42,-1401.37,283322.92,153891.87,1167068.69,65800.96,6.5
Axis Bank,2024-03-31,28911.23,1517078.47,1515918.82,136537.06,318586.48,4336.68,15058.7,-1424.29,310806.75,156286.44,1177955.09,65761.96,6.5
Axis Bank,2024-06-30,29558.88,1546573.94,1540253.81,148517.26,346540.27,4433.83,17609.03,10299.91,362060.26,171914.38,1165205.25,72319.89,6.25
Axis Bank,2024-09-30,32785.92,1604176.06,1620924.16,150683.6,351595.07,4917.89,17435.72,11424.39,332322.16,179136.11,1226232.54,77217.77,6.25
Axis Bank,2024-12-31,32270.79,1649434.23,1677040.9,151622.61,353786.09,4840.62,17939.62,11244.89,363764.7,184995.92,1268684.98,80388.92,6.25
Axis Bank,2025-03-31,32950.58,1676021.33,1695298.86,150841.92,351964.48,4942.59,17657.5,11481.77,325768.65,188762.45,1282497.16,80845.69,6.25
Axis Bank,2025-06-30,31598.79,1740068.83,1750970.78,176241.82,411230.92,4739.82,18413.99,-2059.17,364216.25,199575.55,1342960.98,105671.19,6.0
Axis Bank,2025-09-30,32521.37,1772812.37,1744575.28,172354.82,402161.26,4878.2,18828.56,-2119.29,380362.24,200448.9,1338055.75,102963.17,6.0
Axis Bank,2025-12-31,33231.13,1839002.34,1804871.84,171893.95,401085.88,4984.67,18177.21,-2165.55,360253.48,205173.77,1384302.06,106236.97,6.0
Axis Bank,2026-03-31,34879.58,1981114.64,2016811.09,178300.32,416034.07,5231.94,18357.62,-2272.97,384962.64,218277.39,1546855.4,123136.29,6.0
Bajaj Finance,2014-06-30,1246.81,30141.54,29962.65,2932.69,6842.94,187.02,578.38,-1633.44,134571.49,4367.67,29433.41,1203.93,7.75
Bajaj Finance,2014-09-30,1346.86,30873.03,30607.36,2924.81,6824.56,202.03,562.97,-1764.5,139306.09,4473.67,30066.74,1226.53,7.75
Bajaj Finance,2014-12-31,1399.96,31719.27,31479.86,2927.93,6831.84,209.99,569.39,-1834.07,146275.52,4596.29,30923.83,1262.84,7.75
Bajaj Finance,2015-03-31,1406.45,32666.65,32553.68,2940.0,6860.0,210.97,563.33,-1842.57,135042.16,4733.57,31978.68,1311.3,7.75
Bajaj Finance,2015-06-30,1700.35,35865.34,35408.33,4173.7,9738.63,255.05,745.11,-2299.28,161634.77,6733.12,34414.06,1876.86,6.75
Bajaj Finance,2015-09-30,1847.64,39983.87,40091.52,4238.95,9890.89,277.15,728.12,-2498.45,154716.2,7023.21,38965.75,2158.33,6.75
Bajaj Finance,2015-12-31,1912.94,43956.26,44494.27,4279.31,9985.07,286.94,739.26,-2586.76,162280.35,7276.66,43244.87,2418.16,6.75
Bajaj Finance,2016-03-31,1828.0,47821.15,48684.62,4303.9,10042.44,274.2,743.69,-2471.9,163603.92,7506.13,47317.55,2661.09,6.75
Bajaj Finance,2016-06-30,2413.22,50606.02,50055.58,5673.4,13237.94,361.98,978.05,-2526.74,171997.85,8683.69,46571.46,3791.94,6.25
Bajaj Finance,2016-09-30,2509.1,56104.48,56867.19,5813.76,13565.45,376.36,959.82,-2627.13,191845.2,9139.02,52908.95,4414.53,6.25
Bajaj Finance,2016-12-31,2519.99,60209.62,60885.23,5800.15,13533.69,378.0,953.11,-2638.53,173808.44,9357.56,56647.31,4715.37,6.25
Bajaj Finance,2017-03-31,2616.97,64158.12,64588.11,5774.23,13473.21,392.55,960.31,-2740.07,168636.69,9554.61,60092.45,4979.8,6.25
Bajaj Finance,2017-06-30,3049.67,69236.78,69476.64,7658.26,17869.27,457.45,1171.74,-4920.72,191214.93,14603.44,66519.72,1967.42,6.0
Bajaj Finance,2017-09-30,3231.79,73423.05,72591.14,7545.35,17605.81,484.77,1191.04,-5214.57,188878.89,14777.0,69501.66,2025.31,6.0
Bajaj Finance,2017-12-31,3157.33,79871.94,80214.1,7664.51,17883.86,473.6,1180.67,-5094.44,203450.44,15405.39,76800.19,2273.34,6.0
Bajaj Finance,2018-03-31,3229.31,85118.46,85440.12,7660.66,17874.88,484.4,1168.88,-5210.57,201837.15,15792.46,81803.79,2420.23,6.0
Bajaj Finance,2018-06-30,4519.16,95395.62,96140.26,11268.25,26292.57,677.87,1656.31,-7104.23,222712.1,18254.74,88947.9,2299.18,6.25
Bajaj Finance,2018-09-30,4601.84,105320.0,106130.7,11267.03,26289.75,690.28,1695.38,-7234.2,243952.15,18746.09,98190.95,2537.83,6.25
Bajaj Finance,2018-12-31,4609.08,115400.59,116436.15,11281.3,26323.04,691.36,1654.13,-7245.58,229011.27,19263.78,107725.44,2787.78,6.25
Bajaj Finance,2019-03-31,4695.9,122174.0,120149.13,10995.66,25656.54,704.38,1652.47,-7382.06,240439.56,19257.45,111160.65,2803.84,6.25
Bajaj Finance,2019-06-30,6148.25,132804.4,131352.35,14633.42,34144.65,922.24,2385.03,-5690.66,247438.49,29466.66,116278.76,1783.68,5.15
Bajaj Finance,2019-09-30,6423.4,141816.05,139363.27,14539.3,33925.03,963.51,2403.83,-5945.33,265489.16,30068.4,123370.38,1880.29,5.15
Bajaj Finance,2019-12-31,6618.17,156698.13,159080.44,15020.12,35046.96,992.73,2405.84,-6125.6,259430.69,31880.22,140824.86,2217.29,5.15
Bajaj Finance,2020-03-31,6804.99,163292.88,162202.1,14696.36,34291.5,1020.75,2385.12,-6298.52,260184.95,31992.85,143588.29,2212.07,5.15
Bajaj Finance,2020-06-30,6522.66,166544.8,166929.74,15467.97,36091.93,978.4,2395.16,-197.34,294183.61,34116.82,147690.04,2847.3,4.0
Bajaj Finance,2020-09-30,6654.33,168348.96,168768.47,15470.76,36098.43,998.15,2337.88,-201.33,304486.94,35045.21,149316.83,2879.18,4.0
Bajaj Finance,2020-12-31,6669.11,167670.18,165664.4,15247.69,35577.94,1000.37,2397.84,-201.78,285339.8,35448.85,146570.54,2785.48,4.0
Bajaj Finance,2021-03-31,6702.09,173226.97,175001.95,15590.43,36377.66,1005.31,2375.03,-202.77,276794.07,37175.05,154831.87,3008.62,4.0
Bajaj Finance,2021-06-30,7587.17,184833.97,187992.25,19452.25,45388.58,1138.08,2491.1,-8881.41,304267.86,41011.6,175610.71,3204.06,4.0
Bajaj Finance,2021-09-30,7860.48,195769.53,199626.06,19502.21,45505.15,1179.07,2427.77,-9201.33,339468.39,42228.2,186478.29,3411.08,4.0
Bajaj Finance,2021-12-31,8085.75,202415.8,202585.49,19141.48,44663.46,1212.86,2495.68,-9465.03,324042.31,42537.83,189242.8,3397.62,4.0
Bajaj Finance,2022-03-31,7944.69,209340.49,206223.1,18840.64,43961.5,1191.7,2487.14,-9299.91,334336.79,42942.85,192640.84,3404.27,4.0
