Company,Quarter,X1,X2,X3,X4,X5,OCF_TA,Interest_Coverage,Debt_Assets,Repo_Rate,Leverage_Repo,Stress_Label,shap_X1,shap_X2,shap_X3,shap_X4,shap_X5,shap_OCF_TA,shap_Interest_Coverage,shap_Debt_Assets,shap_Repo_Rate,shap_Leverage_Repo,predicted_probability,predicted_label,risk_category
Alok Industries,2018-03-31,0.164129560646208,0.4666474329341122,0.0185425062883138,0.6640280800271153,0.4265283726072064,0.0167872975656497,0.2270871195425404,0.7501365597502591,5.0,0.3750682798751295,0,0.30304,-0.077074,0.233666,0.086995,-0.722467,0.31454,-0.253954,-0.448713,0.0,-0.136668,0.40776506,0,Moderate Risk
Alok Industries,2018-06-30,0.2409126270195456,0.6754765109808958,0.0452879738826718,0.3174255440959899,0.6444949477823605,0.040288646691782,0.9913896327030493,0.6297735825466887,5.0,0.3148867912733443,0,0.051024,-1.095583,0.073582,0.081916,0.856969,0.485865,-0.695465,-0.189464,0.0,-0.049446,0.46178046,0,Moderate Risk
Alok Industries,2018-09-30,0.1223529503741035,0.6914302872060714,0.0221633642669116,0.5802902643096096,0.4503854867492371,0.0188484354937329,0.3453253149718667,0.8027794681851738,5.0,0.4013897340925869,1,-0.05791,-1.241758,-0.130864,0.824324,-0.256343,0.528511,0.353683,0.61099,0.0,0.120314,0.7461855,1,High Risk
Alok Industries,2018-12-31,0.1972862079421948,0.5530484194724063,0.0192976932182052,0.1885409506396602,0.4054075412466491,0.0176193790540585,0.2502378885710467,0.8121698911771391,5.0,0.4060849455885695,0,-0.121271,-0.909381,-0.077164,0.014996,-0.727729,0.362582,0.029074,0.333184,0.0,0.09078,0.33681846,0,Low Risk
Alok Industries,2019-03-31,0.1864763800048099,0.6785587152539089,0.0119861440888403,0.6602565042543481,0.5355816079656149,0.0110298964238535,0.2347121130365318,0.6312259763310506,5.0,0.3156129881655253,0,-0.065095,-1.32244,0.446926,0.173944,-0.29641,0.232488,0.010942,-0.082512,0.0,0.012592,0.36305195,0,Low Risk
Alok Industries,2019-06-30,0.2654629321277558,0.5980839880117438,0.0262510434419051,0.8393999568969293,0.4977589345824754,0.0284614220839708,0.4641425156468901,0.6790445127190522,5.0,0.3395222563595261,0,-0.002113,-1.07837,-0.030372,0.050164,-0.543981,0.226039,0.342023,0.012804,0.0,-0.004867,0.33153546,0,Low Risk
Alok Industries,2019-09-30,0.2344048712010201,0.4156172627168322,0.016021420585188,0.563007278821664,0.4030930811475632,0.0171730815019713,0.245407957785505,0.7566787700259622,5.0,0.3783393850129811,0,0.049538,0.277777,0.33234,0.748016,-0.659877,0.430832,0.090102,-0.397182,0.0,-0.12036,0.74623084,1,High Risk
Alok Industries,2019-12-31,0.0749973781173564,0.8186606060106155,0.0173917574916846,0.236721476354975,0.4923518022244571,0.0166072987334906,0.2410943741921213,0.8251288731157842,5.0,0.4125644365578921,0,0.011818,-2.81115,0.387093,0.086694,-0.357864,0.395841,-0.102951,0.540572,0.0,0.103829,0.1948664,0,Very Safe
Alok Industries,2020-03-31,0.3039005639776581,0.5511569399742918,0.0139060162642425,0.6554219594361229,0.4269826530099989,0.0147644063202485,0.2836105688277964,0.6854703305140287,5.0,0.3427351652570143,0,-0.203675,-0.84597,0.310499,0.690794,-0.746889,0.469134,0.484461,0.250519,0.0,0.026804,0.68202704,1,High Risk
Alok Industries,2020-06-30,0.2503056883681809,2.4170534484942787,0.0082679500650206,0.3893133912786083,0.4987459602927491,0.0067055064543072,0.1307090562919114,0.7179686466928228,5.0,0.3589843233464114,0,-0.12742,-3.182481,0.288745,0.427845,-0.398642,0.136203,-0.262813,-0.109007,0.0,-0.000951,0.052099407,0,Very Safe
Alok Industries,2020-09-30,0.1923008183706631,3.091088344847382,0.0094656275833385,0.5400386459530724,0.5074083097556489,0.0080329062506719,0.1273325989613642,0.8238403857131462,5.0,0.4119201928565731,0,-0.197038,-3.019993,0.318054,0.45218,-0.18779,0.187607,-0.278173,0.367573,0.0,0.070447,0.12349866,0,Very Safe
Alok Industries,2020-12-31,0.1772066762736818,3.5219705811442825,0.0077144489303209,0.8241201697029429,0.6301281597686237,0.0080729139926358,0.1002577191587401,0.717412230832906,5.0,0.358706115416453,0,-0.166719,-3.151832,0.360893,-0.055294,0.732067,0.094313,-0.211494,-0.165169,0.0,-0.037534,0.093354926,0,Very Safe
Alok Industries,2021-03-31,0.2927173523460062,3.864344177247573,0.0144582113965106,0.2720672677361047,0.4011287760839873,0.0118163715676415,0.1976655000599564,0.6915870461771662,5.0,0.3457935230885831,0,-0.247018,-2.938403,0.22195,0.0329,-0.543364,0.146394,-0.229889,0.051349,0.0,-0.009297,0.0396216,0,Very Safe
Alok Industries,2021-06-30,0.3267456656913705,2.3041079069096906,0.0052120168391835,0.6837036874709715,0.4384398391570135,0.0046624607620854,0.0841250208026608,0.6546951705656733,5.0,0.3273475852828366,0,-0.189004,-3.001585,0.260148,0.070101,-0.465828,0.134772,-0.211612,0.240358,0.0,0.07817,0.05968952,0,Very Safe
Alok Industries,2021-09-30,0.2327336739684223,1.91918031983762,0.0059357781515967,0.5416474303322976,0.4183371436784793,0.0059018168063398,0.0929309728607953,0.6007918285346001,5.0,0.3003959142673,0,-0.042978,-2.92254,0.266474,0.476445,-0.600089,0.190707,-0.177885,-0.347753,0.0,-0.13182,0.04917177,0,Very Safe
Alok Industries,2021-12-31,0.304292718784669,1.2315187503805614,0.0083783993372274,1.0345655140691596,0.5359917006055855,0.0072296283440643,0.148800874822793,0.6346976180877425,5.0,0.3173488090438712,0,-0.220731,-3.008232,0.339864,-0.344248,-0.313513,0.164331,-0.159883,-0.100371,0.0,0.044908,0.036598954,0,Very Safe
Alok Industries,2022-03-31,0.1666001169199597,9.524758425369816,0.0169515548439229,0.3820696330462426,0.5612141662122421,0.0171280367782488,0.2069623894654436,0.7472194992850759,5.0,0.3736097496425379,0,0.173098,-3.186768,0.389939,0.425916,0.194376,0.269118,-0.236968,-0.440232,0.0,-0.075788,0.10341109,0,Very Safe
Alok Industries,2022-06-30,0.2853737476641858,3.0414271985594885,0.010862556643174,0.8746236334262302,0.4797859170812366,0.0117550157699201,0.1647572438256148,0.609523177897382,5.0,0.304761588948691,0,-0.20698,-3.045892,0.329869,0.061845,-0.374141,0.175677,-0.155718,-0.138041,0.0,0.026094,0.04743207,0,Very Safe
Alok Industries,2022-09-30,0.0447398835548359,1.3663550094249732,0.007969352831452,0.2821663249151332,0.4049470654968085,0.0080217956589905,0.0912304300608965,0.829668293144491,5.0,0.4148341465722455,0,0.160076,-2.767986,0.258575,0.147783,-0.651084,0.196886,-0.27713,0.457685,0.0,0.104972,0.11478188,0,Very Safe
Alok Industries,2022-12-31,0.0713529554346301,5.346067202392854,0.0183943412485844,0.2833844031326262,0.6290984437413497,0.0178242806419713,0.2326791565276538,0.8201547080404223,5.0,0.4100773540202111,0,0.12698,-2.915634,0.322619,0.194099,0.735587,0.374094,-0.06393,0.411701,0.0,0.106321,0.40594888,0,Moderate Risk
